route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
522-5015,522,"Redbank station - Springfield Central station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/522,E463A4,000000
523-4517,523,"Mountview shops - Springfield Central station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/523,E463A4,000000
523-5015,523,"Mountview shops - Springfield Central station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/523,E463A4,000000
524-4841,524,"Redbank Plains - Goodna Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/524,E463A4,000000
525-4841,525,"Goodna Station - Redbank Square",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/525,E463A4,000000
526-4841,526,"Orion Springfield Central - Redbank Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/526,E463A4,000000
527-4841,527,"Orion - Goodna Station via Camira",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/527,E463A4,000000
528-4841,528,"Orion - Springfield Station via Springfield Lakes",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/528,E463A4,000000
529-4841,529,"Toogoolawah - Ipswich",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/529,E463A4,000000
531-4841,531,"Springfield - Yamanto via Ripley Valley",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/531,E463A4,000000
533-4841,533,"Spring Mountain Loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/533,E463A4,000000
534-4827,534,"Browns Plains - Orion Springfield Central",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/534,E463A4,000000
535-4827,535,"Flagstone - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/535,E463A4,000000
539-2643,539,"Helidon - Rosewood",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/539,E463A4,000000
540-4827,540,"Beaudesert - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/540,E463A4,000000
541-4827,541,"Greenbank - Browns Plains via Boronia Heights",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/541,E463A4,000000
542-4827,542,"Browns Plains - Park Ridge",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/542,E463A4,000000
543-4827,543,"Browns Plains - Heritage Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/543,E463A4,000000
545-4827,545,"Browns Plains - Griffiths University",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/545,E463A4,000000
546-4827,546,"Park Ridge - City via Greenbank & Griffith Uni",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/546,E463A4,000000
547-4827,547,"Browns Plains - Woodridge",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/547,E463A4,000000
550-4916,550,"Springwood - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/550,E463A4,000000
550-4985,550,"Springwood - Browns Plains",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/550,E463A4,000000
551-4916,551,"Brisbane City - Crestmead",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/551,E463A4,000000
551-4985,551,"Brisbane City - Crestmead",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/551,E463A4,000000
552-4916,552,"Kingston - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/552,E463A4,000000
552-4985,552,"Kingston - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/552,E463A4,000000
553-4916,553,"Trinder Park - Beenleigh",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/553,E463A4,000000
553-4985,553,"Trinder Park - Beenleigh",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/553,E463A4,000000
554-4916,554,"Griffith Uni - Logan Central",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/554,E463A4,000000
554-4985,554,"Griffith Uni - Logan Central",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/554,E463A4,000000
555-4916,555,"Brisbane City - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/555,E463A4,000000
555-4985,555,"Brisbane City - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/555,E463A4,000000
560-4916,560,"Browns Plains - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/560,E463A4,000000
560-4985,560,"Browns Plains - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/560,E463A4,000000
561-4916,561,"Brisbane City - Crestmead",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/561,E463A4,000000
561-4985,561,"Brisbane City - Crestmead",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/561,E463A4,000000
562-4916,562,"Loganholme - Beenleigh",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/562,E463A4,000000
562-4985,562,"Loganholme - Beenleigh",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/562,E463A4,000000
563-4916,563,"Holmview Central - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/563,E463A4,000000
563-4985,563,"Holmview Central - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/563,E463A4,000000
565-4916,565,"Loganholme - Windaroo",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/565,E463A4,000000
565-4985,565,"Loganholme - Windaroo",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/565,E463A4,000000
567-4916,567,"Beenleigh station - Holmview loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/567,E463A4,000000
567-4985,567,"Beenleigh station - Holmview loop",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/567,E463A4,000000
569-4916,569,"Brisbane City - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/569,E463A4,000000
569-4985,569,"Brisbane City - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/569,E463A4,000000
570-4916,570,"Loganholme - Cornubia (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/570,E463A4,000000
570-4985,570,"Loganholme - Cornubia (Loop)",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/570,E463A4,000000
572-4916,572,"Springwood - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/572,E463A4,000000
572-4985,572,"Springwood - Loganholme",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/572,E463A4,000000
573-4916,573,"Brisbane City - Loganholme via Daisy Hill",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/573,E463A4,000000
573-4985,573,"Brisbane City - Loganholme via Daisy Hill",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/573,E463A4,000000
574-4916,574,"Loganholme - Springwood",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/574,E463A4,000000
574-4985,574,"Loganholme - Springwood",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/574,E463A4,000000
575-4916,575,"Brisbane City - Loganholme via Daisy Hill",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/575,E463A4,000000
575-4985,575,"Brisbane City - Loganholme via Daisy Hill",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/575,E463A4,000000
576-4916,576,"Griffith Uni - Springwood",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/576,E463A4,000000
576-4985,576,"Griffith Uni - Springwood",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/576,E463A4,000000
577-4916,577,"Brisbane City - Springwood via Rochedale South",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/577,E463A4,000000
577-4985,577,"Brisbane City - Springwood via Rochedale South",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/577,E463A4,000000
578-4916,578,"Springwood - Griffith Uni",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/578,E463A4,000000
578-4985,578,"Springwood - Griffith Uni",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/578,E463A4,000000
579-4916,579,"Brisbane City - Springwood via Rochedale South",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/579,E463A4,000000
579-4985,579,"Brisbane City - Springwood via Rochedale South",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/579,E463A4,000000
